"序号","一级目录","二级目录","文档标题","上线批次","上线状态","语言","文档ID","正式域名URL","GitHub Pages预览URL","新帮助中心路径","源码路径","旧帮助中心目录","旧帮助中心标题","是否有附件","附件数量","附件是否已本地化","语言覆盖","对应语言文档ID","对应语言正式URL","是否目录入口文档","是否需要业务复核","复核原因","复核负责人","复核结论","维护方式","最后更新时间","备注"
"11","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-物流单号上传手册","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/logistics-upload-manual","https://support.oceanpayment.com/docs/odpm-guide/section-guide/logistics-upload-manual/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/logistics-upload-manual/","/docs/odpm-guide/section-guide/logistics-upload-manual/","docs/odpm-guide/section-guide/logistics-upload-manual/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"12","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-未上传物流信息订单查询及上传手册","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/logistics-query-upload-guide","https://support.oceanpayment.com/docs/odpm-guide/section-guide/logistics-query-upload-guide/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/logistics-query-upload-guide/","/docs/odpm-guide/section-guide/logistics-query-upload-guide/","docs/odpm-guide/section-guide/logistics-query-upload-guide/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"13","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-数据分析功能手册 2025-","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/data-analysis-manual","https://support.oceanpayment.com/docs/odpm-guide/section-guide/data-analysis-manual/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/data-analysis-manual/","/docs/odpm-guide/section-guide/data-analysis-manual/","docs/odpm-guide/section-guide/data-analysis-manual/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"14","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-二次验证说明手册","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/two-factor-auth-manual","https://support.oceanpayment.com/docs/odpm-guide/section-guide/two-factor-auth-manual/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/two-factor-auth-manual/","/docs/odpm-guide/section-guide/two-factor-auth-manual/","docs/odpm-guide/section-guide/two-factor-auth-manual/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"15","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-数字平台操作指引手册2025-10-09","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/digital-platform-guide","https://support.oceanpayment.com/docs/odpm-guide/section-guide/digital-platform-guide/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/digital-platform-guide/","/docs/odpm-guide/section-guide/digital-platform-guide/","docs/odpm-guide/section-guide/digital-platform-guide/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"16","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-退款流程","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/refund-process","https://support.oceanpayment.com/docs/odpm-guide/section-guide/refund-process/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/refund-process/","/docs/odpm-guide/section-guide/refund-process/","docs/odpm-guide/section-guide/refund-process/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"17","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-微信绑定操作手册","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/wechat-binding-manual","https://support.oceanpayment.com/docs/odpm-guide/section-guide/wechat-binding-manual/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/wechat-binding-manual/","/docs/odpm-guide/section-guide/wechat-binding-manual/","docs/odpm-guide/section-guide/wechat-binding-manual/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"18","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-小程序教程","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/mini-program-tutorial","https://support.oceanpayment.com/docs/odpm-guide/section-guide/mini-program-tutorial/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/mini-program-tutorial/","/docs/odpm-guide/section-guide/mini-program-tutorial/","docs/odpm-guide/section-guide/mini-program-tutorial/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"19","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-子账户配置指引","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/sub-account-config-guide","https://support.oceanpayment.com/docs/odpm-guide/section-guide/sub-account-config-guide/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/sub-account-config-guide/","/docs/odpm-guide/section-guide/sub-account-config-guide/","docs/odpm-guide/section-guide/sub-account-config-guide/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"20","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-OP Card操作指引手册 2025-8-5","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/op-card-operation-guide","https://support.oceanpayment.com/docs/odpm-guide/section-guide/op-card-operation-guide/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/op-card-operation-guide/","/docs/odpm-guide/section-guide/op-card-operation-guide/","docs/odpm-guide/section-guide/op-card-operation-guide/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"21","ODPM 账户后台操作指引","板块操作指引","IAM申请OPCCOUNT全球账户业务操作手册-2026年4月20日","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/iam-opccount-global-account-guide","https://support.oceanpayment.com/docs/odpm-guide/section-guide/iam-opccount-global-account-guide/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/iam-opccount-global-account-guide/","/docs/odpm-guide/section-guide/iam-opccount-global-account-guide/","docs/odpm-guide/section-guide/iam-opccount-global-account-guide/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"22","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-协议签署操作手册","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/agreement-signing-operation-manual","https://support.oceanpayment.com/docs/odpm-guide/section-guide/agreement-signing-operation-manual/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/agreement-signing-operation-manual/","/docs/odpm-guide/section-guide/agreement-signing-operation-manual/","docs/odpm-guide/section-guide/agreement-signing-operation-manual/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"23","ODPM 账户后台操作指引","板块操作指引","Oceanpayment ODPM-数字平台操作指引手册-异常交易管理","2026-07-08 帮助中心上线","待上线","中文","odpm-guide/section-guide/digital-platform-guide-exception-transaction-management","https://support.oceanpayment.com/docs/odpm-guide/section-guide/digital-platform-guide-exception-transaction-management/","https://keaton1167.github.io/oceanpayment-help-center/docs/odpm-guide/section-guide/digital-platform-guide-exception-transaction-management/","/docs/odpm-guide/section-guide/digital-platform-guide-exception-transaction-management/","docs/odpm-guide/section-guide/digital-platform-guide-exception-transaction-management/index.mdx","","","否","0","不涉及","中文-only","","","否","是","旧站来源/备注需复核","","","过渡期人工维护","2026/07/06","旧站来源待补充或非迁移审计直接匹配, 仅中文站上线"
"24","OP Card 常见 FAQ","常见问题","交易金额限制生效规则","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/transaction-amount-limit-rules","https://support.oceanpayment.com/docs/op-card-faq/common-questions/transaction-amount-limit-rules/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/transaction-amount-limit-rules/","/docs/op-card-faq/common-questions/transaction-amount-limit-rules/","docs/op-card-faq/common-questions/transaction-amount-limit-rules/index.mdx","OP Card常见问题","交易金额限制生效规则","否","0","不涉及","中文-only","","","是","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"25","OP Card 常见 FAQ","常见问题","OP Card限额是多少？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/op-card-limits","https://support.oceanpayment.com/docs/op-card-faq/common-questions/op-card-limits/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/op-card-limits/","/docs/op-card-faq/common-questions/op-card-limits/","docs/op-card-faq/common-questions/op-card-limits/index.mdx","OP Card常见问题","OP Card限额是多少？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"26","OP Card 常见 FAQ","常见问题","OP Card是什么？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/what-is-op-card","https://support.oceanpayment.com/docs/op-card-faq/common-questions/what-is-op-card/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/what-is-op-card/","/docs/op-card-faq/common-questions/what-is-op-card/","docs/op-card-faq/common-questions/what-is-op-card/index.mdx","OP Card常见问题","OP Card是什么？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"27","OP Card 常见 FAQ","常见问题","单币卡是什么？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/what-is-single-currency-card","https://support.oceanpayment.com/docs/op-card-faq/common-questions/what-is-single-currency-card/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/what-is-single-currency-card/","/docs/op-card-faq/common-questions/what-is-single-currency-card/","docs/op-card-faq/common-questions/what-is-single-currency-card/index.mdx","OP Card常见问题","单币卡是什么？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"28","OP Card 常见 FAQ","常见问题","悦享卡是什么？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/what-is-yuexiang-card","https://support.oceanpayment.com/docs/op-card-faq/common-questions/what-is-yuexiang-card/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/what-is-yuexiang-card/","/docs/op-card-faq/common-questions/what-is-yuexiang-card/","docs/op-card-faq/common-questions/what-is-yuexiang-card/index.mdx","OP Card常见问题","悦享卡是什么？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"29","OP Card 常见 FAQ","常见问题","为什么我的账户申请被拒绝？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/account-application-rejected","https://support.oceanpayment.com/docs/op-card-faq/common-questions/account-application-rejected/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/account-application-rejected/","/docs/op-card-faq/common-questions/account-application-rejected/","docs/op-card-faq/common-questions/account-application-rejected/index.mdx","OP Card常见问题","为什么我的账户申请被拒绝？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"30","OP Card 常见 FAQ","常见问题","谁可以在OP开设发卡账户？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/who-can-open-op-card-account","https://support.oceanpayment.com/docs/op-card-faq/common-questions/who-can-open-op-card-account/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/who-can-open-op-card-account/","/docs/op-card-faq/common-questions/who-can-open-op-card-account/","docs/op-card-faq/common-questions/who-can-open-op-card-account/index.mdx","OP Card常见问题","谁可以在OP开设发卡账户？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"31","OP Card 常见 FAQ","常见问题","在一个公司实体下可以创建的卡片数量是否有限制？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/card-quantity-limit-under-company","https://support.oceanpayment.com/docs/op-card-faq/common-questions/card-quantity-limit-under-company/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/card-quantity-limit-under-company/","/docs/op-card-faq/common-questions/card-quantity-limit-under-company/","docs/op-card-faq/common-questions/card-quantity-limit-under-company/index.mdx","OP Card常见问题","在一个公司实体下可以创建的卡片数量是否有限制？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"32","OP Card 常见 FAQ","常见问题","我可以将现有发卡帐户转移到不同的公司实体上吗？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/transfer-card-account-to-different-company","https://support.oceanpayment.com/docs/op-card-faq/common-questions/transfer-card-account-to-different-company/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/transfer-card-account-to-different-company/","/docs/op-card-faq/common-questions/transfer-card-account-to-different-company/","docs/op-card-faq/common-questions/transfer-card-account-to-different-company/index.mdx","OP Card常见问题","我可以将现有发卡帐户转移到不同的公司实体上吗？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"33","OP Card 常见 FAQ","常见问题","我注册之后是否能够更改企业信息？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/change-company-information-after-registration","https://support.oceanpayment.com/docs/op-card-faq/common-questions/change-company-information-after-registration/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/change-company-information-after-registration/","/docs/op-card-faq/common-questions/change-company-information-after-registration/","docs/op-card-faq/common-questions/change-company-information-after-registration/index.mdx","OP Card常见问题","我注册之后是否能够更改企业信息？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"34","OP Card 常见 FAQ","常见问题","谁会默认成为虚拟卡管理人？虚拟卡管理人可以做什么？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/default-virtual-card-manager","https://support.oceanpayment.com/docs/op-card-faq/common-questions/default-virtual-card-manager/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/default-virtual-card-manager/","/docs/op-card-faq/common-questions/default-virtual-card-manager/","docs/op-card-faq/common-questions/default-virtual-card-manager/index.mdx","OP Card常见问题","谁会默认成为虚拟卡管理人？虚拟卡管理人可以做什么？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"35","OP Card 常见 FAQ","常见问题","企业账号实名认证后，营业执照过期/法定代表人变更/注销是否有影响？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/company-verification-change-impact","https://support.oceanpayment.com/docs/op-card-faq/common-questions/company-verification-change-impact/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/company-verification-change-impact/","/docs/op-card-faq/common-questions/company-verification-change-impact/","docs/op-card-faq/common-questions/company-verification-change-impact/index.mdx","OP Card常见问题","企业账号实名认证后，营业执照过期/法定代表人变更/注销是否有影响？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"36","OP Card 常见 FAQ","常见问题","OP虚拟卡不支持哪些业务和行业？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/unsupported-op-virtual-card-businesses","https://support.oceanpayment.com/docs/op-card-faq/common-questions/unsupported-op-virtual-card-businesses/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/unsupported-op-virtual-card-businesses/","/docs/op-card-faq/common-questions/unsupported-op-virtual-card-businesses/","docs/op-card-faq/common-questions/unsupported-op-virtual-card-businesses/index.mdx","OP Card常见问题","OP虚拟卡不支持哪些业务和行业？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"37","OP Card 常见 FAQ","常见问题","发现交易金额有异常或者有争议订单怎么办？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/abnormal-or-disputed-card-transaction","https://support.oceanpayment.com/docs/op-card-faq/common-questions/abnormal-or-disputed-card-transaction/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/abnormal-or-disputed-card-transaction/","/docs/op-card-faq/common-questions/abnormal-or-disputed-card-transaction/","docs/op-card-faq/common-questions/abnormal-or-disputed-card-transaction/index.mdx","OP Card常见问题","发现交易金额有异常或者有争议订单怎么办？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"38","OP Card 常见 FAQ","常见问题","我什么时候可以开始交易？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/when-can-i-start-transacting","https://support.oceanpayment.com/docs/op-card-faq/common-questions/when-can-i-start-transacting/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/when-can-i-start-transacting/","/docs/op-card-faq/common-questions/when-can-i-start-transacting/","docs/op-card-faq/common-questions/when-can-i-start-transacting/index.mdx","OP Card常见问题","我什么时候可以开始交易？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"39","OP Card 常见 FAQ","常见问题","可以进行卡转账或提现吗？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/card-transfer-or-withdrawal","https://support.oceanpayment.com/docs/op-card-faq/common-questions/card-transfer-or-withdrawal/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/card-transfer-or-withdrawal/","/docs/op-card-faq/common-questions/card-transfer-or-withdrawal/","docs/op-card-faq/common-questions/card-transfer-or-withdrawal/index.mdx","OP Card常见问题","可以进行卡转账或提现吗？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"40","OP Card 常见 FAQ","常见问题","付款支持哪些币种？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/payment-supported-currencies","https://support.oceanpayment.com/docs/op-card-faq/common-questions/payment-supported-currencies/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/payment-supported-currencies/","/docs/op-card-faq/common-questions/payment-supported-currencies/","docs/op-card-faq/common-questions/payment-supported-currencies/index.mdx","OP Card常见问题","付款支持哪些币种？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
